road,lng,lat,species,count
KENT STREET,149.0969963,-35.32471998,eastern grey kangaroo,71
KENT STREET,149.0966016,-35.32463575,eastern grey kangaroo,71
,149.0966016,-35.32463575,eastern grey kangaroo,71
KENT STREET,149.0969963,-35.32471998,eastern grey kangaroo,71
KENT STREET,149.0963562,-35.32457703,eastern grey kangaroo,70
KENT STREET,149.0966566,-35.32465284,eastern grey kangaroo,70
KENT STREET,149.0969414,-35.32486966,eastern grey kangaroo,69
KENT STREET,149.0967399,-35.32475532,eastern grey kangaroo,68
KENT STREET,149.0965412,-35.32480083,eastern grey kangaroo,68
KENT STREET,149.0966298,-35.32444282,eastern grey kangaroo,68
KENT STREET,149.0966298,-35.32444282,eastern grey kangaroo,68
,149.0965412,-35.32480083,eastern grey kangaroo,68
KENT STREET,149.0968218,-35.32441898,eastern grey kangaroo,67
KENT STREET,149.0967303,-35.32487567,eastern grey kangaroo,67
KENT STREET,149.0968862,-35.32452945,eastern grey kangaroo,67
KENT STREET,149.0964672,-35.32484547,eastern grey kangaroo,67
KENT STREET,149.0969025,-35.3249361,eastern grey kangaroo,67
KENT STREET,149.0968218,-35.32441898,eastern grey kangaroo,67
HAMPDEN PLACE,149.0969025,-35.3249361,eastern grey kangaroo,67
KENT STREET,149.0967377,-35.32502538,eastern grey kangaroo,66
KENT STREET,149.0966298,-35.32480078,eastern grey kangaroo,66
KENT STREET,149.096947,-35.32454476,eastern grey kangaroo,66
KENT STREET,149.09672,-35.32479339,eastern grey kangaroo,66
KENT STREET,149.0971768,-35.32429474,eastern grey kangaroo,66
KENT STREET,149.09672,-35.32479339,eastern grey kangaroo,66
KENT STREET,149.0971615,-35.32448618,eastern grey kangaroo,65
KENT STREET,149.0967179,-35.3248073,eastern grey kangaroo,65
KENT STREET,149.0966659,-35.32479255,eastern grey kangaroo,65
KENT STREET,149.0967489,-35.32430663,eastern grey kangaroo,65
KENT STREET,149.0971615,-35.32448618,eastern grey kangaroo,65
KENT STREET,149.0967489,-35.32430663,eastern grey kangaroo,65
HAMPDEN PLACE,149.0968996,-35.32499923,eastern grey kangaroo,65
KENT STREET,149.0967834,-35.32433108,eastern grey kangaroo,64
KENT STREET,149.0961267,-35.32440762,eastern grey kangaroo,64
KENT STREET,149.0966245,-35.3249981,eastern grey kangaroo,63
KENT STREET,149.0968845,-35.32433023,eastern grey kangaroo,63
KENT STREET,149.0965914,-35.32494113,eastern grey kangaroo,63
HAMPDEN PLACE,149.0966245,-35.3249981,eastern grey kangaroo,63
KENT STREET,149.0965914,-35.32494113,eastern grey kangaroo,63
KENT STREET,149.0969735,-35.32418253,eastern grey kangaroo,62
KENT STREET,149.0966134,-35.32495995,eastern grey kangaroo,61
KENT STREET,149.0969228,-35.32425026,eastern grey kangaroo,61
KENT STREET,149.0966134,-35.32495995,eastern grey kangaroo,61
KENT STREET,149.0966223,-35.3251864,eastern grey kangaroo,61
KENT STREET,149.0969228,-35.32425026,eastern grey kangaroo,61
KENT STREET,149.0971914,-35.32496242,eastern grey kangaroo,60
KENT STREET,149.096984,-35.32423265,eastern grey kangaroo,60
KENT STREET,149.0963243,-35.32512717,eastern grey kangaroo,60
KENT STREET,149.0963243,-35.32512717,eastern grey kangaroo,60
KENT STREET,149.0965562,-35.3242274,eastern grey kangaroo,59
KENT STREET,149.0965467,-35.3241882,eastern grey kangaroo,59
,149.0965562,-35.3242274,eastern grey kangaroo,59
,149.0960211,-35.32489623,eastern grey kangaroo,59
,149.0965467,-35.3241882,eastern grey kangaroo,59
SULWOOD DRIVE,149.0949213,-35.38482173,eastern grey kangaroo,58
SULWOOD DRIVE,149.0952807,-35.38504027,eastern grey kangaroo,58
SULWOOD DRIVE,149.0949313,-35.38492389,eastern grey kangaroo,58
SULWOOD DRIVE,149.0948305,-35.38498644,eastern grey kangaroo,58
SULWOOD DRIVE,149.0949786,-35.38509272,eastern grey kangaroo,57
KENT STREET,149.0972374,-35.32499568,eastern grey kangaroo,57
CRETE ROAD,149.1675446,-35.28800028,eastern grey kangaroo,57
FAIRBAIRN AVENUE,149.1675446,-35.28800028,eastern grey kangaroo,57
SULWOOD DRIVE,149.0953342,-35.38520932,eastern grey kangaroo,57
SULWOOD DRIVE,149.0949489,-35.38507742,eastern grey kangaroo,57
SULWOOD DRIVE,149.0949489,-35.38507742,eastern grey kangaroo,57
SULWOOD DRIVE,149.0950077,-35.38492768,eastern grey kangaroo,56
KENT STREET,149.0970204,-35.32409077,eastern grey kangaroo,56
SULWOOD DRIVE,149.0953486,-35.38507368,eastern grey kangaroo,56
CRETE ROAD,149.1674935,-35.28806713,eastern grey kangaroo,56
CRETE ROAD,149.1675076,-35.28812698,eastern grey kangaroo,56
SULWOOD DRIVE,149.0951754,-35.38500618,eastern grey kangaroo,56
KENT STREET,149.0970204,-35.32409077,eastern grey kangaroo,56
FAIRBAIRN AVENUE,149.1674378,-35.28805133,eastern grey kangaroo,56
SULWOOD DRIVE,149.0952706,-35.38528912,eastern grey kangaroo,55
CRETE ROAD,149.1674115,-35.28824892,eastern grey kangaroo,55
SULWOOD DRIVE,149.0955866,-35.38533417,eastern grey kangaroo,55
SULWOOD DRIVE,149.0950039,-35.38527523,eastern grey kangaroo,55
CRETE ROAD,149.1674325,-35.28800858,eastern grey kangaroo,55
SULWOOD DRIVE,149.0950039,-35.38527523,eastern grey kangaroo,55
CRETE ROAD,149.1671392,-35.28803803,eastern grey kangaroo,55
FAIRBAIRN AVENUE,149.1675522,-35.28806458,eastern grey kangaroo,55
ARMBRUSTER STREET,149.0878767,-35.44051008,eastern grey kangaroo,54
CRETE ROAD,149.1673317,-35.28790644,eastern grey kangaroo,54
KENT STREET,149.0961484,-35.32517112,eastern grey kangaroo,54
GENERAL BRIDGES DRIVE,149.1710886,-35.29319987,eastern grey kangaroo,54
CRETE ROAD,149.1675887,-35.28829432,eastern grey kangaroo,54
FAIRBAIRN AVENUE,149.1673317,-35.28790644,eastern grey kangaroo,54
FAIRBAIRN AVENUE,149.1675768,-35.28829625,eastern grey kangaroo,54
SULWOOD DRIVE,149.0954899,-35.3849465,eastern grey kangaroo,53
SACHSE PLACE,149.0952831,-35.38551478,eastern grey kangaroo,53
ARMBRUSTER STREET,149.0878027,-35.44065788,eastern grey kangaroo,53
SULWOOD DRIVE,149.0950916,-35.38518408,eastern grey kangaroo,53
CRETE ROAD,149.1672287,-35.28782669,eastern grey kangaroo,53
SULWOOD DRIVE,149.0950513,-35.38518983,eastern grey kangaroo,53
CRETE ROAD,149.1673993,-35.28797675,eastern grey kangaroo,53
CRETE ROAD,149.1669132,-35.28832413,eastern grey kangaroo,53
FAIRBAIRN AVENUE,149.1672287,-35.28782669,eastern grey kangaroo,53
SULWOOD DRIVE,149.0950916,-35.38518408,eastern grey kangaroo,53
FAIRBAIRN AVENUE,149.1673993,-35.28797675,eastern grey kangaroo,53
SULWOOD DRIVE,149.0946911,-35.38482417,eastern grey kangaroo,52
SULWOOD DRIVE,149.0955907,-35.38526998,eastern grey kangaroo,52
HINDMARSH DRIVE,149.1153461,-35.34536473,eastern grey kangaroo,52
SULWOOD DRIVE,149.0955933,-35.38525421,eastern grey kangaroo,52
SULWOOD DRIVE,149.0955657,-35.38519233,eastern grey kangaroo,52
CRETE ROAD,149.1671766,-35.28777723,eastern grey kangaroo,52
ARMBRUSTER STREET,149.087581,-35.44080042,eastern grey kangaroo,52
ARMBRUSTER STREET,149.0873154,-35.44074153,eastern grey kangaroo,52
SULWOOD DRIVE,149.0960036,-35.38516268,eastern grey kangaroo,52
CRETE ROAD,149.1670759,-35.28794142,eastern grey kangaroo,52
CRETE ROAD,149.1670495,-35.28792598,eastern grey kangaroo,52
