species,lat,lng
wombat,-35.34585744,149.0221589
possum,-35.24919713,149.1239905
other,-35.34018374,149.220885
other,-35.29413815,149.1823975
possum,-35.32994007,149.1533166
possum,-35.39386357,149.0371057
wombat,-35.44772964,149.065685
wombat,-35.40956423,149.0517422
possum,-35.24972033,149.0554746
other,-35.26434205,148.9983431
wombat,-35.43013352,149.0686214
wombat,-35.42765131,149.0560857
wombat,-35.2572186,149.0268116
wombat,-35.4524006,149.0872996
possum,-35.27614177,149.1337142
wombat,-35.4072315,149.049244
possum,-35.25255976,149.1592764
wombat,-35.2621983,149.0316473
other,-35.39576165,149.1433661
possum,-35.34249383,149.106662
wombat,-35.55411157,149.1291022
possum,-35.34668715,149.1004888
other,-35.18773374,149.08192
wombat,-35.39606922,149.0544792
wombat,-35.38891753,149.0310202
wombat,-35.30686329,149.062153
possum,-35.42427028,149.1173408
possum,-35.43312042,149.0941273
wombat,-35.25846187,149.0276283
possum,-35.25297941,149.0361173
possum,-35.2677296,149.1142776
possum,-35.29434982,149.1267464
wombat,-35.37825644,149.1700129
other,-35.3971471,149.0725313
other,-35.2428931,149.1270462
other,-35.2506483,149.0275066
wombat,-35.45715448,149.0771923
wombat,-35.32454375,149.0874603
possum,-35.25734274,149.1434741
wombat,-35.3795725,149.1807221
wombat,-35.32571448,149.2236823
other,-35.20751507,149.1940079
possum,-35.25884882,149.1423921
possum,-35.26926227,149.1349645
possum,-35.24252195,149.0396585
possum,-35.27670974,149.1167392
other,-35.23074842,149.1183905
other,-35.19882061,149.0115726
possum,-35.20902889,149.0620523
possum,-35.3250886,149.0772291
possum,-35.32120813,149.1531858
wombat,-35.45156942,148.9967404
wombat,-35.30564863,149.062437
other,-35.3388804,149.184147
wombat,-35.4778869,149.0903242
wombat,-35.23007586,149.0031531
other,-35.2784179,148.9934292
possum,-35.34062065,149.1035974
wombat,-35.45686398,149.0771815
other,-35.24434857,148.9507635
other,-35.37808092,149.0723393
possum,-35.29876092,149.0704474
wombat,-35.45620949,149.0776969
possum,-35.30992283,149.1134487
other,-35.38038164,149.0938924
wombat,-35.26085737,149.0301782
other,-35.34401977,149.0292203
possum,-35.25246923,149.1397083
wombat,-35.44267776,149.1201667
wombat,-35.4147943,149.1452851
possum,-35.31438451,149.1427709
other,-35.23219242,149.1977661
wombat,-35.47500364,148.9189452
possum,-35.33951669,149.0365799
possum,-35.25149533,149.1470395
possum,-35.43224253,149.0934819
wombat,-35.42769673,149.0737789
possum,-35.39998883,149.0891393
wombat,-35.2830132,148.9771462
wombat,-35.42785511,149.073404
possum,-35.27738529,149.1409875
possum,-35.36584218,149.0880369
wombat,-35.45650268,149.0775502
wombat,-35.44035568,149.105746
possum,-35.4253133,149.1256999
wombat,-35.45380858,149.1284578
wombat,-35.28746777,149.0396914
possum,-35.27005296,149.1274451
possum,-35.25256802,149.0436912
wombat,-35.50955919,149.0693827
wombat,-35.50820818,149.0682845
other,-35.2270166,149.1201807
other,-35.2059358,149.0641947
other,-35.2553561,149.079414
possum,-35.29970956,149.1324859
other,-35.37548433,149.0568963
wombat,-35.28407757,149.089103
wombat,-35.50793043,149.0662911
possum,-35.26908147,149.1467645
wombat,-35.30755803,149.1672598
wombat,-35.32597938,149.0232365
wombat,-35.45646748,148.9174902
kangaroo,-35.29407888,149.0929503
kangaroo,-35.34555626,149.1385417
kangaroo,-35.4869152,149.1491767
kangaroo,-35.31925152,149.0889643
kangaroo,-35.44096758,149.08661
kangaroo,-35.36970812,149.0821494
kangaroo,-35.44508465,149.1137174
kangaroo,-35.33291857,149.109781
kangaroo,-35.3052349,149.0026983
kangaroo,-35.38482417,149.0946911
kangaroo,-35.20036279,149.0994182
kangaroo,-35.22713915,149.1968549
kangaroo,-35.36618434,149.1072966
kangaroo,-35.42114053,149.0634282
kangaroo,-35.38557217,149.0961547
wallaby,-35.35415863,149.133071
kangaroo,-35.21747491,149.005692
kangaroo,-35.23507,149.082165
kangaroo,-35.39059202,149.1040447
kangaroo,-35.38628475,149.1362661
kangaroo,-35.35458818,149.1005688
kangaroo,-35.28353475,149.1578683
kangaroo,-35.27418381,149.1951613
kangaroo,-35.16309335,149.1212879
kangaroo,-35.40203595,149.101308
kangaroo,-35.42516453,149.0733312
kangaroo,-35.3729907,149.06606
kangaroo,-35.35357348,149.1760997
kangaroo,-35.40484977,149.1345761
kangaroo,-35.2085165,149.1919201
kangaroo,-35.26208153,149.0948074
kangaroo,-35.29507266,149.1242695
kangaroo,-35.15627009,149.1502659
kangaroo,-35.44489699,149.0927389
kangaroo,-35.29917433,149.1770323
kangaroo,-35.22055344,149.177787
kangaroo,-35.18981272,149.1512634
kangaroo,-35.22987669,149.1667678
kangaroo,-35.23456498,149.166378
kangaroo,-35.25987778,149.0961003
kangaroo,-35.38855108,149.1024838
other,-35.2629966,149.0816761
other,-35.16412866,149.0595015
possum,-35.35608244,149.0595014
possum,-35.35608542,149.059522
possum,-35.26071335,149.117638
possum,-35.27141626,149.097372
wombat,-35.45917892,149.0981926
possum,-35.34990192,149.0599194
other,-35.25202803,149.1015141
other,-35.30955872,149.1270032
possum,-35.20745492,149.0809581
possum,-35.22096253,149.1038749
wombat,-35.46229606,148.9116515
other,-35.30442592,149.0632199
possum,-35.36992893,149.0918284
possum,-35.27879735,149.136769
kangaroo,-35.40987147,149.0623268
kangaroo,-35.3964719,149.1545763
kangaroo,-35.26226008,149.1495776
possum,-35.33311522,149.0950356
wombat,-35.44918118,149.0693202
possum,-35.17025152,149.1348267
wombat,-35.32619672,149.0266414
wombat,-35.27621528,149.0710023
wombat,-35.34594597,149.0265866
possum,-35.20469863,149.0400801
other,-35.25506807,149.1309219
other,-35.25919365,149.1470475
wombat,-35.32348342,149.0640193
wombat,-35.46143642,149.0244746
other,-35.20564415,149.1445569
other,-35.28591051,149.1846248
wombat,-35.43120407,149.07118
other,-35.29577687,149.1793409
other,-35.25193805,149.1024969
wombat,-35.20803805,149.0269295
wombat,-35.44095542,149.0873527
wombat,-35.23838113,149.0298565
wombat,-35.25778385,148.9357979
other,-35.23699933,149.1443283
wombat,-35.58634324,149.1183623
possum,-35.25309005,149.0364233
other,-35.34022927,149.211319
wombat,-35.50973316,149.1500573
wombat,-35.45019424,149.0539123
other,-35.20047943,149.1658989
wombat,-35.45206537,149.0855782
wombat,-35.40216215,149.1479688
other,-35.23684615,149.1518287
other,-35.32427992,149.040451
possum,-35.33870636,149.0798022
possum,-35.35054701,149.0761585
possum,-35.35328304,149.0363893
possum,-35.33950295,149.0367232
kangaroo,-35.16999317,149.1504697
wallaroo,-35.31506166,149.0648626
kangaroo,-35.32078579,149.1129635
kangaroo,-35.27296578,149.1952854
kangaroo,-35.21622075,149.1931023
kangaroo,-35.31358194,149.0926868
wallaroo,-35.36461123,149.1675293
kangaroo,-35.24388943,149.0565369
kangaroo,-35.35691085,149.1317126
kangaroo,-35.43674158,149.1258402
kangaroo,-35.4335928,149.0876438
kangaroo,-35.27617167,149.0453475
kangaroo,-35.41455202,149.0614102
kangaroo,-35.32378887,149.0974155
kangaroo,-35.32658428,149.063956
kangaroo,-35.39123292,149.1084748
kangaroo,-35.35321712,149.146032
kangaroo,-35.3236576,149.0932033
kangaroo,-35.25946691,149.0928776
kangaroo,-35.30268373,149.1796857
kangaroo,-35.30210447,149.1503372
kangaroo,-35.30354258,149.0328931
kangaroo,-35.25060632,149.0760824
kangaroo,-35.46132038,149.1013694
kangaroo,-35.44379875,149.1019369
kangaroo,-35.43288407,149.1267395
kangaroo,-35.43346469,149.1264995
kangaroo,-35.32847067,149.0948873
kangaroo,-35.3271822,149.0164934
kangaroo,-35.25182821,149.0824164
kangaroo,-35.20561823,149.132338
kangaroo,-35.22771521,149.1960119
kangaroo,-35.22224159,149.1735401
kangaroo,-35.18783025,149.0825579
kangaroo,-35.44345935,149.1062133
kangaroo,-35.38309986,149.1125712
kangaroo,-35.15700128,149.1509411
kangaroo,-35.27535915,149.0758385
kangaroo,-35.21645142,149.193358
wallaroo,-35.37484269,149.0683418
kangaroo,-35.32422928,149.1093543
kangaroo,-35.54379792,149.1339242
kangaroo,-35.25401026,149.1663318
kangaroo,-35.34560379,149.1114395
kangaroo,-35.41061763,149.1323143
kangaroo,-35.45596435,149.1157472
kangaroo,-35.27884144,149.0822
kangaroo,-35.40032605,149.0659849
kangaroo,-35.34381953,149.2031965
kangaroo,-35.39086537,149.1109542
kangaroo,-35.44336385,149.0973888
wallaroo,-35.44677077,149.1056591
wombat,-35.4096435,149.1445881
other,-35.25525708,149.0921862
kangaroo,-35.27706067,149.0768412
kangaroo,-35.27685647,149.0772332
kangaroo,-35.2911326,149.0759342
kangaroo,-35.50001814,149.1506306
kangaroo,-35.33195677,149.0267509
kangaroo,-35.34260698,149.1886884
kangaroo,-35.39770518,149.0739649
kangaroo,-35.26409166,149.1469666
kangaroo,-35.4103427,149.1444918
kangaroo,-35.36320083,149.1667362
kangaroo,-35.38873882,149.1006163
kangaroo,-35.4619322,149.1061024
kangaroo,-35.18730015,149.0827707
kangaroo,-35.3849465,149.0954899
kangaroo,-35.39118288,149.102079
kangaroo,-35.38535988,149.0962246
kangaroo,-35.37715583,149.0933415
kangaroo,-35.3142845,149.0948414
kangaroo,-35.31655827,149.0198375
kangaroo,-35.45507583,149.1167508
kangaroo,-35.288705,149.168083
kangaroo,-35.220149,149.0992237
kangaroo,-35.25412863,149.1608391
kangaroo,-35.28036971,149.145901
kangaroo,-35.15372001,149.1438999
kangaroo,-35.3134324,149.0320143
possum,-35.25855388,149.0594234
other,-35.2232097,149.1273325
wombat,-35.40207001,149.0587208
wombat,-35.50838585,149.0693952
wombat,-35.4257043,149.06732
possum,-35.23193632,149.1520076
possum,-35.2097717,149.1394575
other,-35.30884249,149.083359
possum,-35.26876146,149.1294653
other,-35.2854796,149.124284
possum,-35.22797223,149.1665916
possum,-35.25784602,149.0910275
possum,-35.26023155,149.0807532
other,-35.40568803,149.0634476
wombat,-35.2872611,149.0815031
other,-35.34045242,149.1512635
other,-35.32048058,149.0252306
possum,-35.24865386,149.0545933
kangaroo,-35.3223501,149.1917262
other,-35.26938362,149.0878603
kangaroo,-35.32214847,149.0537998
kangaroo,-35.18485128,149.0742043
kangaroo,-35.2170822,149.1831239
kangaroo,-35.21334229,149.1892198
kangaroo,-35.27949852,149.1488324
kangaroo,-35.3054384,149.1226549
kangaroo,-35.30963402,149.0617275
kangaroo,-35.22738817,149.1195073
wallaby,-35.25423699,149.0937911
kangaroo,-35.15342301,149.1432378
kangaroo,-35.28763045,149.1660762
kangaroo,-35.26961529,149.0430697
kangaroo,-35.44332639,149.1190701
kangaroo,-35.39863066,149.1170457
kangaroo,-35.32895313,149.0511784
kangaroo,-35.30383197,149.1139492
kangaroo,-35.37819226,149.0931953
kangaroo,-35.42307736,149.0683935
kangaroo,-35.31891648,149.112763
kangaroo,-35.31936293,149.0096809
kangaroo,-35.25348732,149.1598283
kangaroo,-35.15182472,149.1143774
kangaroo,-35.38433792,149.0832958
kangaroo,-35.43231205,149.086267
kangaroo,-35.41226847,149.0621525
kangaroo,-35.38560637,149.0963056
kangaroo,-35.4309496,149.0801003
wallaroo,-35.2733049,149.0880921
kangaroo,-35.26944249,149.0518822
kangaroo,-35.27776663,149.0799443
kangaroo,-35.27853983,149.0848198
possum,-35.22881838,149.0747389
possum,-35.2645846,149.1219366
other,-35.18852832,149.1595309
wombat,-35.27652805,149.0872473
wombat,-35.46008133,149.0186346
kangaroo,-35.34015064,149.1224262
kangaroo,-35.32675585,149.1157441
kangaroo,-35.35438742,149.133191
kangaroo,-35.19967152,149.0987447
kangaroo,-35.40890363,149.1279885
kangaroo,-35.27216389,149.075596
kangaroo,-35.34794388,149.0712022
kangaroo,-35.28014798,149.1941063
kangaroo,-35.28005064,149.1454239
kangaroo,-35.42429858,149.0679538
kangaroo,-35.42416676,149.068977
kangaroo,-35.34328695,149.1089384
kangaroo,-35.21338456,149.1817358
kangaroo,-35.38136516,149.0939525
kangaroo,-35.35366843,149.0962365
kangaroo,-35.39665087,149.1194997
kangaroo,-35.44921297,149.0494991
kangaroo,-35.20761815,149.1927663
kangaroo,-35.21952585,149.0988348
kangaroo,-35.38084643,149.0937312
kangaroo,-35.27134307,149.1464045
kangaroo,-35.18637792,149.0875265
kangaroo,-35.15247083,149.1163591
kangaroo,-35.28456758,149.0872415
wallaby,-35.16847469,149.1653005
kangaroo,-35.23409092,149.0879162
kangaroo,-35.31806799,149.1467815
kangaroo,-35.28670893,149.1929457
kangaroo,-35.22401667,149.1963849
kangaroo,-35.32668491,149.3718726
kangaroo,-35.41067408,149.1220939
kangaroo,-35.44530254,149.1046503
kangaroo,-35.44684824,149.1105007
kangaroo,-35.44536835,149.0991119
kangaroo,-35.44223853,149.120905
kangaroo,-35.15608231,149.1184194
kangaroo,-35.1536283,149.1539036
kangaroo,-35.38107692,149.1780117
kangaroo,-35.25034913,149.1555851
kangaroo,-35.26513488,149.147955
kangaroo,-35.412562,149.0613892
kangaroo,-35.31914974,149.1126956
kangaroo,-35.27288424,149.1425544
kangaroo,-35.41191071,149.0615353
kangaroo,-35.40347732,149.0620864
kangaroo,-35.33651542,149.1217577
kangaroo,-35.15912749,149.1513036
kangaroo,-35.45579515,149.0781222
